nom_français,type,classe,description,puissance,précision,pp,type_degats
Jet de Sable,sol,autre,Lance du sable au visage de l'ennemi pour baisser sa Précision.,,100,15,
Jet-Pierres,roche,physique,Le lanceur lâche une pierre sur l'ennemi.,50,90,15,
Koud'Korne,normal,physique,Frappe l'ennemi d'un coup de corne pointue pour infliger des dégâts.,65,100,25,
Lame d'Air,vol,spécial,Le lanceur attaque avec une lame d'air qui fend tout. Peut aussi apeurer l'ennemi.,75,95,20,
Lance-Flammes,feu,spécial,L'ennemi reçoit un torrent de flammes. Peut aussi le brûler.,90,100,15,
Lance-Soleil,plante,spécial,Absorbe la lumière au premier tour et envoie un rayon puissant au tour suivant.,200,100,10,
Laser Glace,glace,spécial,Un rayon de glace frappe l'ennemi. Peut aussi le geler.,90,100,10,
Léchouille,spectre,physique,Un grand coup de langue qui inflige des dégâts à l'ennemi. Peut aussi le paralyser.,30,100,30,
Ligotage,normal,physique,Le lanceur ligote l'ennemi avec des lianes ou son corps pour l'écraser durant quatre à cinq tours.,15,90,20,
Lilliput,normal,autre,Le lanceur comprime son corps pour se faire tout petit et beaucoup augmenter son Esquive.,,,10,statut
Luminocanon,acier,spécial,Le lanceur concentre son énergie lumineuse et la fait exploser. Peut aussi baisser la Défense Spéciale de l'ennemi.,80,100,10,
Lutte,normal,physique,"Une attaque désespérée, utilisée quand le lanceur n'a plus de PP. Le blesse aussi légèrement.",50,100,-,
Machination,ténèbres,autre,Stimule l'esprit par de mauvaises pensées. Augmente beaucoup l'Attaque Spéciale du lanceur.,,,20,statut
Mâchouille,ténèbres,physique,Le lanceur mord l'ennemi de ses crocs pointus. Peut aussi baisser sa Défense.,80,100,15,
Mania,normal,physique,Une attaque furieuse qui dure de deux à trois tours. Le lanceur devient confus.,120,100,10,
Massd'Os,sol,physique,Le lanceur frappe l'ennemi à grands coups d'os. Peut aussi l'apeurer.,65,85,20,
Mawashi Geri,combat,physique,Le lanceur effectue un coup de pied tournoyant et extrêmement rapide. Peut apeurer l'ennemi.,60,85,15,
Mégacorne,insecte,physique,Le lanceur utilise ses gigantesques cornes pour charger l'ennemi.,120,85,10,
Mégafouet,plante,physique,Le lanceur fait virevolter violemment ses lianes ou ses tentacules pour fouetter l'ennemi.,120,85,10,
Méga-Sangsue,plante,spécial,Une attaque qui convertit la moitié des dégâts infligés en PV pour le lanceur.,75,100,10,
Météores,normal,spécial,Le lanceur envoie des rayons d'étoiles. Touche toujours l'ennemi.,60,,20,
Métronome,normal,autre,Le lanceur agite un doigt et stimule son cerveau pour utiliser presque n'importe quelle capacité au hasard.,,,10,statut
Mimique,vol,autre,Le lanceur riposte à l'attaque de l'ennemi avec la même attaque.,,,20,statut
Mimi-Queue,normal,autre,Le lanceur remue son adorable queue pour tromper la vigilance de l'ennemi et baisser sa Défense.,,100,30,
Morphing,normal,autre,Le lanceur devient une copie de sa cible et obtient la même palette de capacités.,,,10,statut
Morsure,ténèbres,physique,L'ennemi est mordu par de tranchantes canines. Peut l'apeurer.,60,100,25,
Mur Lumière,psy,autre,Un fabuleux mur de lumière qui réduit les dégâts causés par les capacités spéciales durant cinq tours.,,,30,statut
Ombre Nocturne,spectre,spécial,Le lanceur invoque un mirage. Inflige des dégâts équivalents au niveau du lanceur.,,100,15,fixe_niveau
Onde Boréale,glace,spécial,Envoie un rayon arc-en-ciel sur l'ennemi. Peut aussi baisser son Attaque.,65,100,20,
Onde Folie,spectre,autre,Un rayon sinistre qui plonge l'ennemi dans un état de confusion.,,100,10,
Osmerang,sol,physique,Le lanceur projette son os comme un boomerang. Cette attaque frappe à l'aller et au retour.,50,90,10,
Papillodanse,insecte,autre,"Une danse mystique dont le rythme parfait augmente l'Attaque Spéciale, la Défense Spéciale et la Vitesse du lanceur.",,,20,statut
Para-Spore,plante,autre,Le lanceur répand sur l'ennemi une poudre qui le paralyse.,,75,30,
Patience,normal,physique,Le lanceur encaisse les coups durant deux tours et réplique en infligeant le double des dégâts subis.,,,10,renvoi_degat_double_deux_tours
Picanon,normal,physique,Envoie une rafale de dards. Peut toucher de deux à cinq fois.,20,100,15,
Picpic,vol,physique,Frappe l'ennemi d'un bec pointu ou d'une corne pour infliger des dégâts.,35,100,35,
Pied Sauté,combat,physique,"Le lanceur s'envole pour décocher un coup de pied sauté. S'il échoue, le lanceur se blesse.",100,95,10,
Piège de Roc,roche,autre,"Lance des pierres flottantes autour de l'ennemi, qui blessent tout adversaire entrant au combat.",,,20,statut
Pika-Fracas,électrik,spécial,Une attaque électrique dont la puissance est proportionnelle à l'amour que Pikachu vous porte. Touche à coup sûr.,1,100,20,
Pika-Piqué,vol,physique,Pikachu prend de la hauteur avant de fondre sur son adversaire. Peut aussi apeurer l'ennemi.,90,95,15,
Pika-Splash,eau,spécial,Pikachu frappe l'adversaire avec une vague géante chargée d'électricité. Peut aussi paralyser l'ennemi.,90,100,15,
Pika-Sprint,électrik,physique,Une attaque électrique rapide comme l'éclair qui inflige un coup critique à coup sûr. Frappe en priorité.,50,100,15,
Pilonnage,normal,physique,Projette de deux à cinq grosses boules sur l'ennemi.,15,85,20,
Pince-Masse,eau,physique,Une grande pince martèle l'ennemi. Taux de critique élevé.,100,90,10,
Piqué,vol,physique,Une attaque en deux tours au taux de critique élevé. Peut aussi apeurer l'ennemi.,200,90,5,
Pistolet à O,eau,spécial,De l'eau est projetée avec force sur l'ennemi.,40,100,25,
Plaie-Croix,insecte,physique,Le lanceur taillade l'ennemi en utilisant ses faux ou ses griffes comme une paire de ciseaux.,80,100,15,
Plaquage,normal,physique,Le lanceur se laisse tomber sur l'ennemi de tout son poids. Peut aussi le paralyser.,85,100,15,
Plénitude,psy,autre,Le lanceur se concentre et fait le vide dans son esprit pour augmenter son Attaque Spéciale et sa Défense Spéciale.,,,20,statut
Poing Comète,normal,physique,Une tornade de coups de poing qui frappe de deux à cinq fois d'affilée.,18,85,15,
Poing de Feu,feu,physique,Un coup de poing enflammé vient frapper l'ennemi. Peut le brûler.,75,100,15,
Poing-Éclair,électrik,physique,Un coup de poing électrique vient frapper l'ennemi. Peut le paralyser.,75,100,15,
Poing-Glace,glace,physique,Un coup de poing glacé vient frapper l'ennemi. Peut le geler.,75,100,15,
Poing-Karaté,combat,physique,L'ennemi est tranché violemment. Taux de critique élevé.,50,100,25,
Poudre Dodo,plante,autre,Le lanceur répand une poudre soporifique qui endort la cible.,,75,15,
Poudre Toxik,poison,autre,Une poudre toxique empoisonne l'ennemi.,,75,35,
Pouvoir Lunaire,fée,spécial,Attaque l'ennemi grâce au pouvoir de la lune. Peut diminuer son Attaque Spéciale.,95,100,15,
Protection,psy,autre,Un fabuleux mur de lumière qui réduit les dégâts causés par les capacités physiques durant cinq tours.,,,20,statut
Provoc,ténèbres,autre,Provoque l'ennemi. L'oblige à n'utiliser que des attaques pendant trois tours.,,100,20,
Psyko,psy,spécial,Une puissante force télékinétique frappe l'ennemi. Peut aussi faire baisser sa Défense Spéciale.,90,100,10,
Puissance,normal,autre,Le lanceur prend une profonde inspiration et se concentre pour augmenter son taux de critique.,,,30,statut
Purédpois,poison,spécial,Le lanceur attaque à l'aide d'une éruption de gaz répugnants. Peut aussi empoisonner l'ennemi.,30,70,20,
Queue de Fer,acier,physique,Attaque l'ennemi avec une queue de fer. Peut aussi baisser sa Défense.,100,75,15,
Rafale Psy,psy,spécial,Un étrange rayon frappe l'ennemi. Peut aussi le rendre confus.,65,100,20,
Reflet,normal,autre,"Le lanceur se déplace si vite qu'il crée des copies illusoires de lui-même, augmentant son Esquive.",,,15,statut
Regard Médusant,normal,autre,Le lanceur intimide l'ennemi grâce à son regard terrifiant pour le paralyser.,,100,30,
Repli,eau,autre,"Le lanceur se recroqueville dans sa carapace, ce qui augmente sa Défense.",,,40,statut
Repos,psy,autre,"Le lanceur regagne tous ses PV et soigne ses altérations de statut, puis il dort pendant deux tours.",,,10,statut
Riposte,combat,physique,Une riposte qui répond à toute capacité physique en infligeant le double de dégâts.,,100,20,renvoi_degat_double_physique
Rugissement,normal,autre,Le lanceur pousse un cri tout mimi pour tromper la vigilance de l'ennemi et baisser son Attaque.,,100,40,
Ruse,normal,physique,Une attaque capable de toucher un ennemi qui utilise Abri. Annule l'effet de cette capacité.,50,100,10,
Sacrifice,combat,physique,Le lanceur agrippe l'ennemi et l'écrase au sol. Blesse aussi légèrement le lanceur.,80,80,20,
Sécrétion,insecte,autre,Le lanceur crache de la soie pour ligoter l'ennemi et beaucoup baisser sa Vitesse.,,95,40,
Séisme,sol,physique,Le lanceur provoque un tremblement de terre touchant tous les Pokémon autour de lui.,100,100,10,
Soin,normal,autre,Un soin qui permet au lanceur de récupérer jusqu'à la moitié de ses PV max.,,,10,statut
Sonicboom,normal,spécial,Une onde de choc destructrice qui inflige toujours 20 PV de dégâts.,,90,20,fixe_degat_20
Souplesse,normal,physique,"Fouette l'ennemi avec la queue ou une liane, par exemple, pour infliger des dégâts.",80,75,20,
Spore,plante,autre,Le lanceur répand un nuage de spores qui endort.,,100,15,
Surf,eau,spécial,Une énorme vague s'abat sur le champ de bataille et inflige des dégâts à tous les Pokémon autour du lanceur.,90,100,15,
Surpuissance,combat,physique,"Une attaque puissante, mais qui baisse l'Attaque et la Défense du lanceur.",120,100,5,
Télékinésie,psy,autre,"Le lanceur distrait l'ennemi en pliant une cuiller, ce qui baisse sa Précision.",,80,15,
Téléport,psy,autre,Le lanceur utilise sa force psychique pour se téléporter et échanger sa place avec un autre Pokémon de l'équipe.,,,20,statut
Tonnerre,électrik,spécial,Une grosse décharge électrique tombe sur l'ennemi. Peut aussi le paralyser.,90,100,15,
Torgnoles,normal,physique,Gifle rapidement l'ennemi de deux à cinq fois d'affilée.,15,85,10,
Tornade,vol,spécial,Le lanceur bat des ailes pour générer une bourrasque qui blesse l'ennemi.,40,100,35,
Toxik,poison,autre,Empoisonne gravement l'ennemi. Les dégâts dus au poison augmentent à chaque tour.,,90,10,
Tranche,normal,physique,Un coup de griffe ou autre tranche l'ennemi. Taux de critique élevé.,70,100,20,
Tranch'Herbe,plante,physique,Des feuilles aiguisées comme des rasoirs entaillent l'ennemi. Taux de critique élevé.,55,95,25,
Trempette,normal,autre,Le lanceur barbote et éclabousse les environs. Cette capacité n'a aucun effet.,,,40,statut
Tricherie,ténèbres,physique,"Le lanceur utilise la force de l'ennemi. Plus l'Attaque de l'ennemi est élevée, plus le lanceur inflige de dégâts.",95,100,15,
Triplattaque,normal,spécial,"Le lanceur envoie trois boules d'énergie simultanément. Peut aussi paralyser, brûler ou geler l'ennemi.",80,100,10,
Tunnel,sol,physique,Le lanceur creuse au premier tour et frappe au second.,80,100,10,
Tunnelier,sol,physique,Le lanceur tourne sur lui-même comme une perceuse et se jette sur l'ennemi. Taux de critique élevé.,80,95,10,
Ultimapoing,normal,physique,L'ennemi reçoit un coup de poing d'une puissance incroyable.,80,85,20,
Ultimawashi,normal,physique,Un coup de pied surpuissant qui frappe l'ennemi.,120,75,5,
Ultralaser,normal,spécial,Projette un puissant rayon sur l'ennemi. Le lanceur doit se reposer au tour suivant.,150,90,5,
Ultrason,normal,autre,Le lanceur produit d'étranges ondes sonores qui rendent la cible confuse.,,55,20,
Uppercut,normal,physique,Un enchaînement de coups de poing cadencés frappe l'ennemi. Peut aussi le rendre confus.,70,100,10,
Vague Psy,psy,spécial,Une étrange onde d'énergie chaude frappe l'ennemi. Cette attaque est d'intensité variable.,,100,15,degat_aleatoire
Vampigraine,plante,autre,"Une graine est semée sur l'ennemi. À chaque tour, elle lui dérobe des PV que le lanceur récupère.",,90,10,
Vampirisme,insecte,physique,Une attaque qui aspire le sang de l'ennemi. La moitié des dégâts sont convertis en PV pour le lanceur.,80,100,15,
Vibrobscur,ténèbres,spécial,Le lanceur dégage une horrible aura chargée d'idées noires. Peut aussi apeurer l'ennemi.,80,100,15,
Vive-Attaque,normal,physique,Le lanceur fonce sur l'ennemi si rapidement qu'on parvient à peine à le discerner. Frappe en priorité.,40,100,30,
Voile Miroir,psy,spécial,Une riposte qui contre n'importe quelle capacité spéciale en infligeant le double des dégâts subis.,,100,20,renvoi_degat_double_special
Vol,vol,physique,Le lanceur s'envole au premier tour et frappe au second.,90,95,15,
Vol-Vie,plante,spécial,Une attaque qui convertit la moitié des dégâts infligés en PV pour le lanceur.,40,100,15,
Yoga,psy,autre,Le lanceur médite pour éveiller son pouvoir latent et augmenter son Attaque.,,,40,statut
Pied Voltige,combat,physique,"Le lanceur s'élance pour effectuer un coup de genou sauté. S'il échoue, le lanceur se blesse",130,90,10,degat_si_echec_50_pourcent_degat
